;crl.tot;dollar;bang;money;n000;make;yesno
0;278;0;0,778;0;0;0;y
1;1028;0,18;0,372;0,43;0,43;0,21;y
2;2259;0,184;0,276;0,06;1,16;0,06;y
3;191;0;0,137;0;0;0;y
4;191;0;0,135;0;0;0;y
5;54;0;0;0;0;0;y
6;112;0,054;0,164;0;0;0;y
7;49;0;0;0;0;0;y
8;1257;0,203;0,181;0,15;0;0,15;y
9;749;0,081;0,244;0;0,19;0,06;y
10;21;0;0,462;0;0;0;y
11;184;0;0,663;0;0;0;y
12;261;0;0,786;0;0;0;y
13;25;0;0;0;0;0;y
14;205;0;0,357;0;0,35;0;y
15;249;0,063;0,572;0,42;0;0;y
16;107;0;0,428;0;0;0;y
17;461;0,37;1,975;0;0,7;0;y
18;70;0;0,455;0;0;0;y
19;186;0,496;0,055;0,63;0,31;0;y
20;23;0;0,729;0;0;0;y
21;2259;0,046;0,25;0;0,05;0,05;y
22;34;0;0,809;0;0;0;y
23;69;0;0,667;0;0;0;y
24;82;0,196;0,392;0;0;0;y
25;2258;0,046;0,25;0;0,05;0,05;y
26;82;0,196;0,392;0;0;0;y
27;47;0;0,368;3,33;0;0;y
28;36;0;0,352;0;0;0;y
29;129;0;0,091;0,65;0;0;y
30;59;0;0,886;0;0;1,17;y
31;43;0;2,112;0;0;0;y
32;89;0,091;0;0,27;0;0;y
33;17;0,302;0;0;0;0;y
34;264;0;0;0;0;0;y
35;25;0;1,543;0;0;0;y
36;29;0;0,873;0;0;0;y
37;239;0,244;0,488;0;0,48;0;y
38;186;0;0,963;0;0;0;y
39;285;0;0,75;0;0;0;y
40;226;0,207;0,207;0,61;0,3;0,3;y
41;28;0;0,671;0;0;0;y
42;28;0;0,711;0;0;0;y
43;68;0;0,426;0;0;0;y
44;339;0,036;0,813;0;0;0;y
45;774;0,068;1,318;0,3;0;0,15;y
46;442;0,167;0,01;0,06;0,84;0,18;y
47;94;0;0,17;0;0,49;0,49;y
48;3040;0,756;0,325;0,36;1,05;0,46;y
49;898;0,23;0,278;0,26;0,19;0,46;y
50;33;0;0;0;0;0;y
51;179;0,332;0,498;0;1,83;0,73;y
52;750;0,071;0,244;0;0,19;0,06;y
53;69;0,596;0,198;1,26;0;0;y
54;176;0,333;0,5;0;1,83;0,73;y
55;106;0;1,478;0;0;0;y
56;146;0,061;0,615;0;0;0;y
57;51;0;0;0;0;0;y
58;200;0;1,501;0;0;0;y
59;284;0;0,669;0;0;0;y
60;249;0;0;0;0;0;y
61;66;0;0,175;0,23;0;0,23;y
62;75;0;0;0;0;0;y
63;96;0,048;0,048;0;0;0;y
64;180;0,019;0,019;0;0,12;0,12;y
65;121;0;2,205;0;0;0,66;y
66;194;0,294;0,589;0,48;0;0;y
67;17;0;0,5;0;0;0;y
68;303;0,351;1,053;0,3;0;0,3;y
69;141;0,1;0;0;1,96;0;y
70;290;0;0,537;0;0;0;y
71;187;0;0,877;0;0;0;y
72;281;0;0,807;0;0;0;y
73;110;0,223;0,298;0;0,46;0;y
74;236;0,243;0,486;0;0,48;0;y
75;318;0;1,366;0;1,88;0;y
76;100;0,082;0,165;0;0;0;y
77;1066;0,234;0,437;0,75;0,44;0,75;y
